"Source", "Source ID", "Category", "Name", "Threadcount" 
"House of Tartan" "4067" "" "All Irish Red Irish District Tartan" "B=2C2C80BLUE;DB=202060DARK BLUE;G=006818GREEN;LG=289C18LIGHT GREEN;R=C80000RED;LSB=98C8E8LIGHT SKY;AA=789484ANC AZURE;OG=5C6428OLIVE GREEN; R12AA4DB4R60G4R4LG8R4G4R2G40R2AA4DB4R8DB4AA4R2G40R2G4R4LG8R4G4R60DB4AA4"
"House of Tartan" "8453" "" "Allandale Blue Dress Tartan" "K=101010BLACK;W=E0E0E0WHITE;LB=2888C4LIGHT BLUE;P=B80478PURPLE;Y=E8C000YELLOW; LB/6P4LB2P18W4Y6P10LB34W80K2W4K/6"
"House of Tartan" "8457" "" "Allandale Red Dress Tartan" "K=101010BLACK;W=E0E0E0WHITE;N=888888GRAY;G=006818GREEN;R=C80000RED; G/6R4G2R18N4Y6R10G34W80K2W4K/6"
"House of Tartan" "2482" "" "Allen Personal Tartan" "K=101010BLACK;B=2C2C80BLUE;DY=E8C000GOLD;G=006818GREEN;R=C80000RED; G4R4G24K8B22R4B22K8B4K18B4K18B4K8B22DY4B22K8G24R4G4R4G24K8B22DY4B22K8B4K18B4K18B4K8B22R4B22K8G24R4"
"House of Tartan" "3208" "" "Allen Northumbrian Family Tartan" "B=2C2C80BLUE;DT=441800DARK BROWN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/22R2B4R6B2DT16G22W2G22DT16B16Y2R2Y/2"
"House of Tartan" "10684" "" "Allianz Deutschland 2012 Corporate Tartan" "K=000000BLACK;B=20608CFSBLUE;DB=141C50OXFORD;W=E8E8E8WHITE; B/12DB6B12DB40K40DB16W/8"
"House of Tartan" "314" "" "Allison Family Tartan" "K=101010BLACK;B=2C2C80BLUE;DB=202060DARK BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;DG=003820DARK GREEN;HG=285800HUNTING GREEN; DB/6K6DB30K30Y6DG30K6DG30W6K30B8R12K6Y/4"
"House of Tartan" "673" "" "Allison Family Tartan" "K=101010BLACK;B=2C2C80BLUE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; DB/64Y3G12K3G12W3DB15B4R21DB3Y/2"
"House of Tartan" "10101" "" "Alloway Primary School Corporate Tartan" "LSB=98C8E8LIGHT SKY;Y=D8D458YELLOW;N=888888GRAY;W=E0E0E0WHITE;B=2C2C80BLUE; N/20W8B2LSB60B2W8N20Y/36"
"House of Tartan" "6688" "" "Alpha Chi Sigma Fraternity Corporate Tartan" "NB=003C64NAVY BLUE;Y=E8C000YELLOW;R=C80000RED;W=E0E0E0WHITE; NB/70Y2NB6Y2NB6Y2NB40R12W2R/10"
"House of Tartan" "643" "" "Alvis of Lee Personal Tartan" "A=5C8CA8AZURE;DB=202060DARK BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; DB/9W4G36A36R/4"
"House of Tartan" "10656" "" "Alyssa's Theme Fashion Tartan" "K=000000BLACK;R=800300MAROON;N=7D7D7DGREY;B=38558FTORY BLUE; B/4K26B16K4R2N2R42K2R2N4K16R26K/4"
"House of Tartan" "2190" "" "Amarillo District Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;Y=E8C000YELLOW; B/72K8LB8B36K16G36R16B36LB8K8Y/4"
"House of Tartan" "91" "" "American Bicentennial Commemorative Tartan" "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE; B/28A4W4A4B40K40R34W8R6W6R6W6R/10"
"House of Tartan" "2354" "" "American Express Corporate Tartan" "RB=000064NAVY;G=007800GREEN;DR=8C0000RED;LN=C8C8C8WHITE;FSB=3474FCLIGHT BLUE; RB8FSB36DR4RB20G20LN8G20RB20DR4FSB36"
"House of Tartan" "6882" "" "American National Fashion Tartan" "W=E0E0E0WHITE;K=101010BLACK;R=DC0000;G=003C14;B=080848;X=000028; K/6R6G8B14K6X78B30W/6"
"House of Tartan" "2316" "" "American Soc of Travel Agents Corporate Tartan" "N=888888GREY;R=C80000RED;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; W4G20B20R2B20N2B2N20B4N20B2N2B20R2B20G20"
"House of Tartan" "3016" "" "Amnesty International Corporate Tartan" "DO=B05830DARK ORANGE;K=101010BLACK;B=242468BLUE;T=604000BROWN;DY=E8A800GOLD;G=147414GREEN;W=E0E0E0WHITE; K4DB24DO16LG24Y4LG24DO16DB24W4DB24DO16LG24WR4LG24DO16DB24"
"House of Tartan" "1394" "" "Anderson Family Tartan" "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/6A12R2K4R2A36K6W6K6Y2K2Y2K8R2B8R6G12R4G12R/8"
"House of Tartan" "1514" "" "Anderson Dress Clan Tartan" "K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/4G8R4G8R2K4Y4K4Y2W4Y2K4Y2W24R4W10R/6"
"House of Tartan" "7024" "" "Anderson of Ardbrake Clan/Family Tartan" "LB=2888C4LIGHT BLUE;G=006818GREEN;K=101010BLACK;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;B=2C2C80BLUE; LB/4G8K6LB2R44B4K6W8K6Y4K4Y4K8R4LB6B10G18R4K/26"
"House of Tartan" "1347" "" "Anderson Old Tartan" "A=5C8CA8AZURE;K=101010BLACK;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/16A32K2R8K2A104W16K2Y4K8Y4K28R4A28G32K2R8K2G32R/16"
"House of Tartan" "1350" "" "Anderson Variant Clan Tartan" "K=101010BLACK;DB=202060DARK BLUE;G=006818GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; R/6LB12K2R4K2LB28K6W6K6Y4K4Y4K4R4DB10R4G12K2R4K2G12R/6"
"House of Tartan" "10038" "" "Angotta Name Tartan" "K=000000BLACK;R=C80000RED;B=2C2C80BLUE;G=006818GREEN;LG=289C18LIGHT GREEN;DY=BC8C00DARKGOLD; R/2B80R2B4DY8B10DY4B10DY2B2DY2B2DY/12"
"House of Tartan" "1179" "" "Angus District Tartan" "K=101010BLACK;B=2C2C80BLUE;R=C80000RED; K/6R2K64B56R2B4R2B4R/6"
"House of Tartan" "1742" "" "Annan Trade Tartan" "K=101010BLACK;N=888888GREY;LT=A08858LIGHT BROWN;O=D87C00ORANGE; LT/12N40K32LT12N4LT8O8LT8N4LT/60"
"House of Tartan" "2282" "" "Antrim Irish County Tartan" "RR=B03000AM RUST;VDB=101448M BLUE;DBG=043C48PRUSSIAN;FSG=4C9864FS GREEN;LY=F4BC3CAM MUSTARD; LY/8FSG4VDB34RR10LY4VDB10LY4FSG34DBG4FSG/10"
"House of Tartan" "6447" "" "Apache North Sea Commemorative Tartan" "Y=D8B000YELLOW;WR=6C0070HEATHER;NB=003C64NAVY BLUE;K=101010BLACK;N=888888GREY; Y4WR8Y4NB14N6K20K26NB14N6K26N6NB14K30NB14N6K26N6NB14K26K20N6NB14Y4WR8"
"House of Tartan" "961" "" "Applecross (MacDonald) District Tartan" "G=006818GREEN;R=C80000RED; G/36R4G14R/36"
"House of Tartan" "657" "" "Aquascutum Trade Tartan" "B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE; B/22W22R/22"
"House of Tartan" "6596" "" "Arbroath Smokie Corporate Tartan" "R=C80000RED;BN=14283CBLUE GREY;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;W=E0E0E0WHITE;DR=880000DARK RED GO/2DR90BN46W2BN12R4GO2R4GO/2"
"House of Tartan" "204" "" "Arbuthnott Clan Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; B/8K8B38K38G14W4G16B16G16W4G14K38B8K8B8K8B/36"
"House of Tartan" "2487" "" "Argentina Argentinian District Tartan" "B=2C2C80BLUE;DB=202060DARK BLUE;ZZ=808080MISSING COLOUR;WW=F8F8F8WILSON WHITE;NB=003C64NAVY BLUE;YY=FCCC00YELLOW-BASIC;W=E0E0E0WHITE; B6DB72B6DB6B66W6B10W6B66DB6B6DB72"
"House of Tartan" "10007" "" "Argentine Flag Fashion Tartan" "AR=E86000ANC RED;Y=E8C000YELLOW;W=E0E0E0WHITE;A=5C8CA8AZURE; Y/8W6Y4W6Y2W4A/52"
"House of Tartan" "2079" "" "Argyll District Tartan" "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; A/4K2G16K16B16K2R/4"
"House of Tartan" "5706" "" "Arizona American District Tartan" "K=101010BLACK;T=604000BROWN;HG=285800HUNTING GREEN;LB=2888C4LIGHT BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW;WW=FCFCFCWILSON WHITE;G=006818GREEN;A=5C8CA8AZURE; T6G4WW4R4T24K24G24R4G4A4G4Y4G4A4G4R4G24K24T24R4WW4G4"
"House of Tartan" "2678" "" "Arkansas State American District Tartan" "K=101010BLACK;HG=285800HUNTING GREEN;S=C8002CSCARLET;WW=FCFCFCWILSON WHITE;G=006818GREEN;LG=289C18LIGHT GREEN;p=2C0038350; G/8K12G12S24G48WW4G/12"
"House of Tartan" "2276" "" "Armagh Irish County Tartan" "Y=BCAC20C YELLOW;OG=407C40P GREEN;XR=A81830SCARLETT;DG=043828VENUS GREEN; OG/4DG22OG6DG4XR8DG4OG34Y4OG/8"
"House of Tartan" "793" "" "Armstrong Clan Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; G/4K2G60K24B4K2B2K2B24R/6"
"House of Tartan" "6482" "" "Arnold Palmer Corporate Tartan" "EG=009468Emerald Green;DG=003820DARK GREEN;R=C80000RED;W=E0E0E0WHITE;K=101010BLACK;Y=E8C000YELLOW;BG=285800HUNTING GREEN; BG/80R10K4W4K4Y6K4BG20R6K/6"
"House of Tartan" "381" "" "Arran District Tartan" "K=101010BLACK;N=888888GREY;P=780078PURPLE;R=C80000RED;W=E0E0E0WHITE; P/90N5P5N5P5K16R3K5R4K4R5K3R6W4R6K3R5K4R4K5R3K16N22K/5"
"House of Tartan" "1365" "" "Arrol Corporate Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;XR=C80000RED;W=E0E0E0WHITE; XR/10B30K30G30W4G30K30G30W/4"
"House of Tartan" "3840" "" "Asher Personal Tartan" "Y=E8C000YELLOW;W=E0E0E0WHITE;RB=1C0070ROYAL BLUE;R=C80000RED;DG=003820DARK GREEN; DG80DY4RB6R8RB6DY4DG80W6DG80DY4RB6R8RB6DY4"
"House of Tartan" "3529" "" "Asman Day Tan Family Tartan" "K=101010BLACK;LT=A08858LIGHT BROWN;LN=C0C0C0LIGHT GRAY;MY=D09800M YELLOW;OG=5C6428OLIVE GREEN;R=C80000RED; LT/8MY4LT36R12LN4K12LN4LT12OG36K4OG/8"
"House of Tartan" "2552" "" "Asman Dress Family Tartan" "K=101010BLACK;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;DR=880000DARK RED;E=4C3428DRAB;LN=C0C0C0LIGHT GRAY;WW=FCFCFCWILSON WHITE;R=C80000RED;DY=E8C000GOLD;B=2C2C80BLUE;N=888888GREY; B/8DY6B44N12WW4K12WW4R12R40K6R/8"
"House of Tartan" "2553" "" "Asman Hunting Family Tartan" "K=101010BLACK;DB=202060DARK BLUE;GO=BC8C00DARK GOLD;DR=880000DARK RED;E=4C3428DRAB;W=E0E0E0WHITE;WW=FCFCFCWILSON WHITE;N=888888GREY;R=C80000RED;DY=E8C000GOLD;B=2C2C80BLUE; B/8DY6B44R12WW4K12WW4B12N40K6N/8"
"House of Tartan" "2078" "" "Atholl District Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED; B/24K4B4K4B4K24G24R6G24K24B24K2R/6"
"House of Tartan" "1781" "" "Atlantic Ancient Trade Tartan" "B=2C2C80BLUE;T=604000BROWN;DB=202060DARK BLUE;DG=003820DARK GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW; W/6B34T32DB4DG34Y/4"
"House of Tartan" "2159" "" "Aubigny Auld Alliance District Tartan" "K=101010BLACK;DY=E8C000GOLD;S=C8002CSCARLET; S18K4S10K4S36K18DY8K4DY6K4DY40K4DY6K4DY8K18S18"
"House of Tartan" "10014" "" "Auchinachie Name Tartan" "B=2C2C80BLUE;K=101010BLACK;G=006818GREEN;R=C80000RED;A=5C8CA8AZURE;Y=E8C000YELLOW; A/4K4B24K8R2K8A20Y2A20K16B24K/4"
"House of Tartan" "3043" "" "Auckland New Zealand District Tartan" "K=101010BLACK;B=2C2C80BLUE;DG=003820DARK GREEN;LN=C0C0C0LIGHT GRAY; DG/6K6B4K32B4K4B48LN/4"
"House of Tartan" "2402" "" "Auld Lang Syne (red) Tartan" "R=C80000RED;G=006818GREEN;K=101010BLACK; R/8G4R48K12R10G28R/8"
"House of Tartan" "7250" "" "Auld Lang Syne Blue Fashion Tartan" "W=E0E0E0WHITE;K=101010BLACK;G=004505;B=3A70DD;L=9173B3; W/4L12K4G20K50L6K6L6K6B18K4W/8"
"House of Tartan" "2401" "" "Auld Lang Syne Brown Tartan" "W=FFFFDA;N=977957;O=352406;B=130D00; W/8B4O16B4N4B4N4B46O20B4O14B/4"
"House of Tartan" "2400" "" "Auld Lang Syne Burns Commemorative Tartan" "K=090700;L=A7EAE1;B=205D7A;N=351D00; L/6N6K6N48B48K6B6K/6"
"House of Tartan" "8081" "" "Auld Lang Syne, Grey Weavers Tartan" "W=E0E0E0WHITE;LP=B468ACMAUVE;K=101010BLACK;G=006818GREEN;FSB=3C4C6CFS BLUE;P=780078PURPLE;N=888888GRAY;DR=880000DARK RED; K/4N12K4N20K46DR6K6DR6N6N18K4W/8"
"House of Tartan" "2381" "" "Auld Reekie Trade Tartan" "DG=003820DARK GREEN;XR=C80000BASIC RED;DB=202060DARK BLUE;B=2C2C80BLUE;R=C80000RED;G=006818GREEN; B8R6B6R44G16R4G16R44B6R6"
"House of Tartan" "7303" "" "Auld Scotland Weavers Tartan" "LN=D8C888LIGHT GRAY;N=747C60GRAY;DN=5C5C5CDARK GREY;RR=60082CMARROON;LT=A08858LIGHT BROWN;OG=5C6428OLIVE GREEN;WB=789484WTHRED BLUE; R/4LT24RR6LT6RR24OG24DN24N24OG2LN/4"
"House of Tartan" "254" "" "Austin or Keith/Marshall Clan Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN; B/8K8B8G18K/4"
"House of Tartan" "611" "" "Australian District Tartan" "K=101010BLACK;B=98C8E8L BLUE;T=AC6444BROWN;LT=BC9450LIGHT BROWN;W=E0E0E0WHITE; B/4T30LT20T8LT4K4LT4T8LT100T8LT4K4LT4T8LT20T30W/4"
"House of Tartan" "612" "" "Australian Dress District Tartan" "A=5C8CA8AZURE;K=101010BLACK;T=AC6444BROWN;LT=BC9450LIGHT BROWN;W=E0E0E0WHITE; A/4T30LT20T8LT4K4LT4T8W/100"
"House of Tartan" "6098" "" "Australian National Australian District Tartan" "Y=E8C000YELLOW;G=006818GREEN;K=101010BLACK;WW=FCFCFCWILSON WHITE;R=C80000RED;B=2C2C80BLUE;DB=202060DARK BLUE; B/10R4DB4WW4B6K4G4Y4G4WW2G4WW2G30DB/104"
"House of Tartan" "6460" "" "Austrian Bowhunters Hunting Corporate Tartan" "K=101010BLACK;DG=003820DARK GREEN;DR=880000DARK RED;Y=E8C000YELLOW;R=C80000RED; K6DG6K4DR6K4DG6K6DR10Y2DR10K6R6K6R6K6DG6K4DR6K4DG40DG40K4DR6K4DG6K6R6K6R6K6DR10Y2DR10K6DG6K4DR6K4DG6"
"House of Tartan" "912" "" "Aviemore Check District Tartan" "T=604000BROWN;G=006818GREEN;W=E0E0E0WHITE;Y=E8C000YELLOW; G/4T20G22Y8T2W36G4T/2"
"House of Tartan" "8177" "" "Aviemore Dress Tartan" "W=E0E0E0WHITE;SCR=A00048CRIMSON;B=2C2C80BLUE;R=C80000RED;G=006818GREEN; W/120SCR2B20SCR44B6R6G/2"
"House of Tartan" "6305" "" "Ayre Personal Tartan" "R=C80000RED;Y=E8C000YELLOW;WW=FCFCFCWILSON WHITE;B=2C2C80BLUE;BL=1474B4BALMORAL BLUE;K=101010BLACK;G=006818GREEN; G82K2G2K2G2K8B28K2WW6K2B28K2Y6K2G32K2R5K2G15WW6G15K2R5K2G32K2Y6K2B28K2WW6K2B28K8G2K2G2K2"
"House of Tartan" "436" "" "Ayrshire District Tartan" "B=2C2C80BLUE;T=604000BROWN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/8R4B40W4T16G32Y4G/8"
"House of Tartan" "1584" "" "Ayrton Family Tartan" "A=5C8CA8AZURE;K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; R/8K4G50K4A20K4G8K4B50K4Y/8"
"House of Tartan" "1330" "" "Ayrton Laoch Family Tartan" "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; R/4B8G4B4G4B4G24Y4G24R/4"
"House of Tartan" "1466" "" "B.B. Special Corporate Tartan" "B=2C2C80BLUE;DG=003820DARK GREEN;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE; R/6DG56G38DG6B38DG6B38DG6G38DG56W/6"
"House of Tartan" "10193" "" "Bagpipe Shop, The Corporate Tartan" "DN=5C5C5CDARK GREY;N=888888GRAY;K=101010BLACK;LT=A08858LIGHT BROWN;R=C80000RED;G=006818GREEN;LG=289C18LIGHT GREEN;LN=A0A0A0LIGHT GRAY; DN/100LN30N30R10LG/10"
"House of Tartan" "2089" "" "Bahamas District Tartan" "B=2C2C80BLUE;G=006818GREEN;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/6G22W22R4G14B44Y4B/12"
"House of Tartan" "3628" "" "Bailies of Bennachie Corporate Tartan" "WR=680028RED WINE;K=101010BLACK;G=48581CGREEN;DO=A44C00DARK ORANGE;NB=002450NAVY BLUE;ASR=CC4438SCARLET;SB=1084ACSKY BLUE;WG=848850WTHRD GREEN; G/54WR4G8DO30NB52K4NB/12"
"House of Tartan" "278" "" "Baillie Clan Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;R=C80000RED;Y=E8C000YELLOW; B/28K4B4K4B4K28G26K3Y5K3G26K28B26K3R/5"
"House of Tartan" "206" "" "Baillie of Polkemett Family Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;W=E0E0E0WHITE; B/2K2B16K18G18W2G2W2G2W2G18K18B2K2B2K2B/22"
"House of Tartan" "2326" "" "Baillieville Family Tartan" "K=101010BLACK;DR=901C38MARROON;Y=E8C000YELLOW; Y4K16Y4K16Y44DR4Y4DR4Y44K16Y4K16"
"House of Tartan" "104" "" "Baird Clan Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE; P/6G2P2G16K16B16K4B/6"
"House of Tartan" "273" "" "Baird (Old) Clan Tartan" "K=101010BLACK;B=2C2C80BLUE;SCR=A00048CRIMSON;G=006818GREEN; B/3K3B31K31G33SCR2G3SCR/7"
"House of Tartan" "233" "" "Baird Dress Clan Tartan" "K=101010BLACK;B=2C2C80BLUE;G=006818GREEN;P=780078PURPLE;W=E0E0E0WHITE; B/8K8B46K24G20K2W46P4W4P/8"
"House of Tartan" "613" "" "Baker Family Tartan" "B=2C2C80BLUE;P=780078PURPLE;UT=480800UMBER;W=E0E0E0WHITE; B/112UT12W4UT12B16W8P4W/20"
"House of Tartan" "2180" "" "Baker Dress Family Tartan" "B=2C2C80BLUE;R=C80000RED;W=E0E0E0WHITE;Y=E8C000YELLOW; B/112Y12W4Y12B16W8R4W/20"
"House of Tartan" "6784" "" "Balamory Fancy Tartan" "AW=ECCCB8PALE ROSE;LSB=98C8E8LIGHT SKY;LB=1888D8BALMORAL BLUE;LY=FCEC94PALE YELLOW;AK=1C1C1CANC BLACK; LB/18LSB4LB18LY4LB18AW32LB2AK20AW8AK4AW4AK4AW8LB/18"
"House of Tartan" "683" "" "Balfour Family Tartan" "B=2C2C80BLUE;T=604000BROWN;N=888888GREY;R=C80000RED;Y=E8C000YELLOW; B/60Y6T22Y6N66R/12"
